system:index,EVI,ReachID,day,month,year,.geo
20201218_00000000000000000000,0.016913676490977147,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210101_00000000000000000000,0.016913676490977147,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210202_00000000000000000000,0.01540002370663586,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210306_00000000000000000000,0.013472366498257182,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210407_00000000000000000000,0.03633882829688841,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210509_00000000000000000000,0.04800676532148,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210610_00000000000000000000,0.05802669092454736,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210712_00000000000000000000,0.07104217866821483,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210813_00000000000000000000,0.1188130490971016,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20210914_00000000000000000000,0.11423208651235421,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20211016_00000000000000000000,0.04933737014284709,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20211117_00000000000000000000,0.025175735597194295,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20211219_00000000000000000000,0.020105648525024993,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20220101_00000000000000000000,0.01803131356193016,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20220202_00000000000000000000,0.014323417468272509,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20220306_00000000000000000000,0.01491315402285928,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20220407_00000000000000000000,0.04053487677961327,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
20220509_00000000000000000000,0.05820655250775982,3.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-110.15179101333929,31.513689359357535],[-110.1517374814978,31.513499280541765],[-110.15134067343345,31.512088902697567],[-110.15071192484962,31.509849835084726],[-110.14966401171218,31.50612797594336],[-110.14848676984218,31.501930753819142],[-110.1483753441266,31.501535305066707],[-110.14801416496333,31.500250283049237],[-110.14741213948729,31.498105930039397],[-110.1469840691303,31.496588824906194],[-110.14531641477821,31.490642060903614],[-110.14522271214506,31.490311321183405],[-110.1451959919007,31.490216206847848],[-110.14472329821179,31.488524162765838],[-110.14256959648382,31.48086185519601],[-110.14233320498947,31.480021433501406],[-110.13787858895554,31.464147117557626],[-110.09234669121416,31.46420794387352],[-110.09254289825283,31.464923049116685],[-110.09618150790445,31.478032533440768],[-110.09622612956096,31.478199888585845],[-110.09677903846148,31.48018873913227],[-110.09693516896044,31.480751580779565],[-110.09854936762619,31.486573441441887],[-110.0989818629694,31.48813250647729],[-110.09945452732796,31.48983980230635],[-110.09954813326513,31.490182026754585],[-110.09971762365778,31.490786569447156],[-110.10000298558785,31.491816998126662],[-110.10007432608788,31.49207938614537],[-110.10132737540115,31.496577406184418],[-110.10163055040724,31.49768004538682],[-110.10208095091943,31.499311173853748],[-110.10223699167847,31.499862461818513],[-110.10373969225594,31.50528774579432],[-110.10375759563199,31.505337200099955],[-110.10432832277421,31.507405300266694],[-110.10697702966898,31.516935764089233],[-110.15179101333929,31.513689359357535]]]}"
